pid|filename|status|heap_summary|leak_summary|error_summary
80513|Example1.cpp|N|HEAP SUMMARY:^    in use at exit: 0 bytes in 0 blocks^  total heap usage: 10,037 allocs, 10,037 frees, 535,208 bytes allocated^^All heap blocks were freed -- no leaks are possible^^ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^||ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^
82554|Example3.cpp|N|HEAP SUMMARY:^    in use at exit: 0 bytes in 0 blocks^  total heap usage: 49 allocs, 49 frees, 85,734 bytes allocated^^All heap blocks were freed -- no leaks are possible^^ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^||ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^
82597|Example4.cpp|N|HEAP SUMMARY:^    in use at exit: 0 bytes in 0 blocks^  total heap usage: 51 allocs, 51 frees, 85,797 bytes allocated^^All heap blocks were freed -- no leaks are possible^^ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^||ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^
82640|Example5.cpp|N|HEAP SUMMARY:^    in use at exit: 0 bytes in 0 blocks^  total heap usage: 40,043 allocs, 40,043 frees, 1,795,487 bytes allocated^^All heap blocks were freed -- no leaks are possible^^ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^||ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^
82683|Example6.cpp|N|HEAP SUMMARY:^    in use at exit: 0 bytes in 0 blocks^  total heap usage: 40,047 allocs, 40,047 frees, 2,033,340 bytes allocated^^All heap blocks were freed -- no leaks are possible^^ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^||ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 0 from 0)^
